local_path,hf_repo_id,dataset,teacher_model,student_model,method,seed,checkpoint_tag,selected_for_report,status,notes,publish_to_hf,hf_repo_subpath,hf_commit_message,hf_published_revision
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_standard_mnr/intfloat__e5-base-v2,,mbpp,,intfloat/e5-base-v2,final_standard_mnr,,intfloat__e5-base-v2,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_standard_mnr/sentence-transformers__all-MiniLM-L6-v2,,mbpp,,sentence-transformers/all-MiniLM-L6-v2,final_standard_mnr,,sentence-transformers__all-MiniLM-L6-v2,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_standard_mnr/sentence-transformers__all-mpnet-base-v2,,mbpp,,sentence-transformers/all-mpnet-base-v2,final_standard_mnr,,sentence-transformers__all-mpnet-base-v2,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_standard_mnr/sentence-transformers__multi-qa-mpnet-base-dot-v1,,mbpp,,sentence-transformers/multi-qa-mpnet-base-dot-v1,final_standard_mnr,,sentence-transformers__multi-qa-mpnet-base-dot-v1,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/legacy_selected_model/final_hardneg_triplet,,mbpp,,final_hardneg_triplet,legacy_selected_model,,final_hardneg_triplet,no,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/legacy_selected_model/final_standard_mnr,,mbpp,,final_standard_mnr,legacy_selected_model,,final_standard_mnr,no,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/sweep/sweep_e1_b16_lr2e5,,mbpp,,sweep_e1_b16_lr2e5,sweep,,sweep_e1_b16_lr2e5,no,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/sweep/sweep_e1_b32_lr1e5,,mbpp,,sweep_e1_b32_lr1e5,sweep,,sweep_e1_b32_lr1e5,no,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/sweep/sweep_e2_b16_lr2e5,,mbpp,,sweep_e2_b16_lr2e5,sweep,,sweep_e2_b16_lr2e5,no,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_student,,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_student,42,best-val,yes,verified,suite_student_dir; hybrid_kd_pilot; checkpoint_strategy=all_epochs_then_prune,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_score_distill,,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_score_distill,42,best-val,yes,verified,suite_student_dir; hybrid_kd_pilot; checkpoint_strategy=all_epochs_then_prune,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill,,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_embed_distill,42,best-val,yes,verified,suite_student_dir; hybrid_kd_pilot; checkpoint_strategy=all_epochs_then_prune,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill_warmup,,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_embed_distill_warmup,42,best-val,yes,verified,suite_student_dir; hybrid_kd_pilot; checkpoint_strategy=all_epochs_then_prune,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_hybrid_pilot/20260326_155721/supervised_embed_distill_projinit,,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_embed_distill_projinit,42,best-val,yes,verified,suite_student_dir; hybrid_kd_pilot; checkpoint_strategy=all_epochs_then_prune,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_posthoc_pilot/20260326_170318/posthoc_score_distill,,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,posthoc_score_distill,42,best-val,yes,verified,suite_student_dir; posthoc_kd_pilot; checkpoint_strategy=all_epochs_then_prune; warm_start_from=supervised_student,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_posthoc_pilot/20260326_170318/posthoc_teacher_topk_distill,,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,posthoc_teacher_topk_distill,42,best-val,yes,verified,suite_student_dir; posthoc_kd_pilot; checkpoint_strategy=all_epochs_then_prune; warm_start_from=supervised_student; pilot_winner_but_transfer_fail,no,,,
