query_index,record_id,dataset,split,query_tokens,code_tokens,query,teacher_rank,baseline_rank,kd_rank
11,soimort/you-get::src/you_get/extractors/yixia.py::yixia_download::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/yixia.py#L65-L93,codesearchnet,test,1,91,wrapper,29,5,3
12,soimort/you-get::src/you_get/extractors/veoh.py::veoh_download::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/veoh.py#L8-L16,codesearchnet,test,2,45,Get item_id,1,2,2
13,soimort/you-get::src/you_get/extractors/veoh.py::veoh_download_by_id::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/veoh.py#L19-L33,codesearchnet,test,3,58,Source: Android mobile,4,1,1
14,soimort/you-get::src/you_get/extractors/bokecc.py::BokeCC.download_by_id::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/bokecc.py#L17-L39,codesearchnet,test,48,79,"self, str->None
        
        Keyword arguments:
        self: self
        vid: The video ID for BokeCC cloud, something like
        FE3BB999594978049C33DC5901307461
        
        Calls the prepare() to download the video.
        
        If no title is provided, this method shall try to find a proper title
        with the information providin within the
        returned content of the API.",1,2,1
15,soimort/you-get::src/you_get/extractors/qie.py::QiE.get_vid_from_url::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/qie.py#L35-L48,codesearchnet,test,5,47,Extracts video ID from live.qq.com.,1,1,1
16,soimort/you-get::src/you_get/util/log.py::sprint::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/log.py#L60-L62,codesearchnet,test,11,28,Format text with color or other effects into ANSI escaped string.,1,1,1
17,soimort/you-get::src/you_get/util/log.py::print_log::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/log.py#L72-L74,codesearchnet,test,7,16,Print a log message to standard error.,1,1,1
18,soimort/you-get::src/you_get/util/log.py::e::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/log.py#L88-L92,codesearchnet,test,5,17,Print an error log message.,2,1,1
19,soimort/you-get::src/you_get/util/log.py::wtf::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/log.py#L94-L98,codesearchnet,test,4,16,What a Terrible Failure!,3,1,1
20,soimort/you-get::src/you_get/util/os.py::detect_os::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/os.py#L5-L32,codesearchnet,test,3,73,Detect operating system.,1,1,2
21,soimort/you-get::src/you_get/extractors/miaopai.py::miaopai_download_by_fid::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/miaopai.py#L20-L37,codesearchnet,test,3,80,Source: Android mobile,1,2,2
22,soimort/you-get::src/you_get/extractors/vimeo.py::vimeo_download_by_channel::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/vimeo.py#L15-L19,codesearchnet,test,1,18,str->None,69,34,11
23,soimort/you-get::src/you_get/extractors/vimeo.py::vimeo_download_by_channel_id::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/vimeo.py#L22-L36,codesearchnet,test,1,44,str/int->None,150,59,23
24,soimort/you-get::src/you_get/extractors/vimeo.py::vimeo_download_by_id::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/vimeo.py#L134-L164,codesearchnet,test,90,107,"try:
        # normal Vimeo video
        html = get_content('https://vimeo.com/' + id)
        cfg_patt = r'clip_page_config\s*=\s*(\{.+?\});'
        cfg = json.loads(match1(html, cfg_patt))
        video_page = get_content(cfg['player']['config_url'], headers=fake_headers)
        title = cfg['clip']['title']
        info = loads(video_page)
    except:
        # embedded player - referer may be required
        if 'referer' in kwargs:
            fake_headers['Referer'] = kwargs['referer']

        video_page = get_content('http://player.vimeo.com/video/%s' % id, headers=fake_headers)
        title = r1(r'<title>([^<]+)</title>', video_page)
        info = loads(match1(video_page, r'var t=(\{.+?\});'))

    streams = info['request']['files']['progressive']
    streams = sorted(streams, key=lambda i: i['height'])
    url = streams[-1]['url']

    type, ext, size = url_info(url, faker=True)

    print_info(site_info, title, type, size)
    if not info_only:
        download_urls([url], title, ext, size, output_dir, merge=merge, faker=True)",1,1,1
25,soimort/you-get::src/you_get/extractors/ckplayer.py::ckplayer_get_info_by_xml::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/ckplayer.py#L13-L39,codesearchnet,test,6,82,"str->dict
    Information for CKPlayer API content.",1,1,1
26,soimort/you-get::src/you_get/extractors/ixigua.py::get_video_url_from_video_id::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/ixigua.py#L34-L78,codesearchnet,test,10,284,Splicing URLs according to video ID to get video details,1,1,1
27,soimort/you-get::src/you_get/extractors/mgtv.py::MGTV.get_vid_from_url::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/mgtv.py#L27-L33,codesearchnet,test,5,21,Extracts video ID from URL.,2,3,3
28,soimort/you-get::src/you_get/extractors/mgtv.py::MGTV.get_mgtv_real_url::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/mgtv.py#L37-L58,codesearchnet,test,8,85,"str->list of str
        Give you the real URLs.",1,1,1
29,soimort/you-get::src/you_get/util/git.py::get_head::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/git.py#L7-L15,codesearchnet,test,9,33,"Get (branch, commit) from HEAD of a git repo.",1,1,1
30,soimort/you-get::src/you_get/util/fs.py::legitimize::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/fs.py#L5-L47,codesearchnet,test,7,123,Converts a string to a valid filename.,1,1,1
31,soimort/you-get::src/you_get/util/term.py::get_terminal_size::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/util/term.py#L3-L9,codesearchnet,test,7,30,"Get (width, height) of the current terminal.",1,1,1
32,soimort/you-get::src/you_get/extractors/cbs.py::cbs_download::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/cbs.py#L9-L17,codesearchnet,test,5,28,Downloads CBS videos by URL.,1,3,2
33,soimort/you-get::src/you_get/extractors/iqiyi.py::Iqiyi.download::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/iqiyi.py#L158-L218,codesearchnet,test,8,187,"Override the original one
        Ugly ugly dirty hack",140,1,1
34,soimort/you-get::src/you_get/extractors/acfun.py::acfun_download_by_vid::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/acfun.py#L42-L109,codesearchnet,test,26,275,"str, str, str, bool, bool ->None

    Download Acfun video by vid.

    Call Acfun API, decide which site to use, and pass the job to its
    extractor.",1,2,1
35,soimort/you-get::src/you_get/__main__.py::main_dev::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/__main__.py#L24-L85,codesearchnet,test,4,186,"Main entry point.
    you-get-dev",1,1,1
36,soimort/you-get::src/you_get/processor/ffmpeg.py::ffmpeg_download_stream::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/processor/ffmpeg.py#L220-L262,codesearchnet,test,24,134,"str, str->True
    WARNING: NOT THE SAME PARMS AS OTHER FUNCTIONS!!!!!!
    You can basicly download anything with this function
    but better leave it alone with",10,1,1
37,soimort/you-get::src/you_get/common.py::match1::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L224-L249,codesearchnet,test,56,95,"Scans through a string for substrings matched some patterns (first-subgroups only).

    Args:
        text: A string to be scanned.
        patterns: Arbitrary number of regex patterns.

    Returns:
        When only one pattern is given, returns a string (None if no match found).
        When more than one pattern are given, returns a list of strings ([] if no match found).",1,1,1
38,soimort/you-get::src/you_get/common.py::matchall::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L252-L268,codesearchnet,test,30,50,"Scans through a string for substrings matched some patterns.

    Args:
        text: A string to be scanned.
        patterns: a list of regex pattern.

    Returns:
        a list if matched. empty if not.",1,1,1
39,soimort/you-get::src/you_get/common.py::parse_query_param::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L285-L299,codesearchnet,test,33,43,"Parses the query string of a URL and returns the value of a parameter.

    Args:
        url: A URL.
        param: A string representing the name of the parameter.

    Returns:
        The value of the parameter.",1,1,1
40,soimort/you-get::src/you_get/common.py::ungzip::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L319-L326,codesearchnet,test,5,22,Decompresses data for Content-Encoding: gzip.,1,2,2
41,soimort/you-get::src/you_get/common.py::undeflate::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L329-L335,codesearchnet,test,10,20,"Decompresses data for Content-Encoding: deflate.
    (the zlib compression is used.)",1,1,1
42,soimort/you-get::src/you_get/common.py::get_content::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L415-L454,codesearchnet,test,43,122,"Gets the content of a URL via sending a HTTP GET request.

    Args:
        url: A URL.
        headers: Request headers used by the client.
        decoded: Whether decode the response body using UTF-8 or the charset specified in Content-Type.

    Returns:
        The content as a string.",1,1,1
43,soimort/you-get::src/you_get/common.py::post_content::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L457-L501,codesearchnet,test,43,144,"Post the content of a URL via sending a HTTP POST request.

    Args:
        url: A URL.
        headers: Request headers used by the client.
        decoded: Whether decode the response body using UTF-8 or the charset specified in Content-Type.

    Returns:
        The content as a string.",1,2,2
44,soimort/you-get::src/you_get/common.py::parse_host::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L1216-L1226,codesearchnet,test,9,47,Parses host name and port number from a string.,1,1,1
45,soimort/you-get::src/you_get/common.py::print_more_compatible::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/common.py#L1258-L1273,codesearchnet,test,44,95,"Overload default print function as py (<3.3) does not support 'flush' keyword.
    Although the function name can be same as print to get itself overloaded automatically,
    I'd rather leave it with a different name and only overload it when importing to make less confusion.",1,1,1
46,soimort/you-get::src/you_get/extractors/showroom.py::showroom_get_roomid_by_room_url_key::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/showroom.py#L11-L24,codesearchnet,test,1,49,str->str,197,18,9
47,soimort/you-get::src/you_get/extractors/showroom.py::showroom_download_by_room_id::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/showroom.py#L26-L56,codesearchnet,test,3,170,Source: Android mobile,3,7,4
48,soimort/you-get::src/you_get/extractors/wanmen.py::_wanmen_get_title_by_json_topic_part::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/wanmen.py#L18-L25,codesearchnet,test,10,18,"JSON, int, int, int->str
    
    Get a proper title with courseid+topicID+partID.",1,2,1
49,soimort/you-get::src/you_get/extractors/wanmen.py::wanmen_download_by_course::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/wanmen.py#L37-L51,codesearchnet,test,12,33,"int->None
    
    Download a WHOLE course.
    Reuse the API call to save time.",1,2,1
50,soimort/you-get::src/you_get/extractors/wanmen.py::wanmen_download_by_course_topic_part::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/wanmen.py#L69-L84,codesearchnet,test,9,40,"int, int, int->None
    
    Download ONE PART of the course.",2,4,7
51,soimort/you-get::src/you_get/extractors/bigthink.py::Bigthink.get_streams_by_id::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/bigthink.py#L22-L49,codesearchnet,test,47,101,"int, int->list
        
        Get the height of the videos.
        
        Since brightcove is using 3 kinds of links: rtmp, http and https,
        we will be using the HTTPS one to make it secure.
        
        If somehow akamaihd.net is blocked by the Great Fucking Wall,
        change the ""startswith https"" to http.",1,1,1
52,apache/airflow::airflow/executors/base_executor.py::BaseExecutor.has_task::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/executors/base_executor.py#L97-L105,codesearchnet,test,25,40,"Checks if a task is either queued or running in this executor

        :param task_instance: TaskInstance
        :return: True if the task is known to this executor",1,1,1
53,apache/airflow::airflow/executors/base_executor.py::BaseExecutor.get_event_buffer::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/executors/base_executor.py#L160-L179,codesearchnet,test,45,83,"Returns and flush the event buffer. In case dag_ids is specified
        it will only return and flush events for the given dag_ids. Otherwise
        it returns and flushes all

        :param dag_ids: to dag_ids to return events for, if None returns all
        :return: a dict of events",1,1,1
54,apache/airflow::airflow/contrib/hooks/snowflake_hook.py::SnowflakeHook._get_conn_params::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/hooks/snowflake_hook.py#L47-L96,codesearchnet,test,14,176,"one method to fetch connection params as a dict
        used in get_uri() and get_connection()",1,1,1
55,apache/airflow::airflow/contrib/hooks/snowflake_hook.py::SnowflakeHook.get_uri::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/hooks/snowflake_hook.py#L98-L105,codesearchnet,test,6,21,override DbApiHook get_uri method for get_sqlalchemy_engine(),1,1,1
56,apache/airflow::airflow/contrib/hooks/snowflake_hook.py::SnowflakeHook.get_conn::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/hooks/snowflake_hook.py#L107-L113,codesearchnet,test,4,16,Returns a snowflake.connection object,1,1,1
57,apache/airflow::airflow/contrib/hooks/snowflake_hook.py::SnowflakeHook._get_aws_credentials::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/hooks/snowflake_hook.py#L115-L129,codesearchnet,test,15,39,"returns aws_access_key_id, aws_secret_access_key
        from extra

        intended to be used by external import and export statements",1,1,1
58,apache/airflow::airflow/contrib/hooks/grpc_hook.py::GrpcHook._get_field::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/hooks/grpc_hook.py#L112-L123,codesearchnet,test,41,59,"Fetches a field from extras, and returns it. This is some Airflow
        magic. The grpc hook type adds custom UI elements
        to the hook page, which allow admins to specify scopes, credential pem files, etc.
        They get formatted as shown below.",1,1,1
59,apache/airflow::airflow/hooks/postgres_hook.py::PostgresHook.copy_expert::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/hooks/postgres_hook.py#L63-L83,codesearchnet,test,71,102,"Executes SQL using psycopg2 copy_expert method.
        Necessary to execute COPY command without access to a superuser.

        Note: if this method is called with a ""COPY FROM"" statement and
        the specified input file does not exist, it creates an empty
        file and no data is loaded, but the operation succeeds.
        So if users want to be aware when the input file does not exist,
        they have to check its existence by themselves.",1,1,1
60,apache/airflow::airflow/hooks/postgres_hook.py::PostgresHook.bulk_load::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/hooks/postgres_hook.py#L85-L89,codesearchnet,test,8,19,Loads a tab-delimited file into a database table,1,1,2
61,apache/airflow::airflow/hooks/postgres_hook.py::PostgresHook.bulk_dump::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/hooks/postgres_hook.py#L91-L95,codesearchnet,test,8,19,Dumps a database table into a tab-delimited file,1,1,1
62,apache/airflow::airflow/contrib/operators/file_to_gcs.py::FileToGoogleCloudStorageOperator.execute::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/operators/file_to_gcs.py#L68-L82,codesearchnet,test,7,24,Uploads the file to Google cloud storage,2,1,1
63,apache/airflow::airflow/macros/hive.py::max_partition::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/macros/hive.py#L23-L55,codesearchnet,test,128,158,"Gets the max partition for a table.

    :param schema: The hive schema the table lives in
    :type schema: str
    :param table: The hive table you are interested in, supports the dot
        notation as in ""my_database.my_table"", if a dot is found,
        the schema param is disregarded
    :type table: str
    :param metastore_conn_id: The hive connection you are interested in.
        If your default is set you don't need to use this parameter.
    :type metastore_conn_id: str
    :param filter_map: partition_key:partition_value map used for partition filtering,
                       e.g. {'key1': 'value1', 'key2': 'value2'}.
                       Only partitions matching all partition_key:partition_value
                       pairs will be considered as candidates of max partition.
    :type filter_map: map
    :param field: the field to get the max value from. If there's only
        one partition field, this will be inferred
    :type field: str

    >>> max_partition('airflow.static_babynames_partitioned')
    '2015-01-01'",1,2,1
64,apache/airflow::airflow/macros/hive.py::_closest_date::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/macros/hive.py#L58-L80,codesearchnet,test,66,129,"This function finds the date in a list closest to the target date.
    An optional parameter can be given to get the closest before or after.

    :param target_dt: The target date
    :type target_dt: datetime.date
    :param date_list: The list of dates to search
    :type date_list: list[datetime.date]
    :param before_target: closest before or after the target
    :type before_target: bool or None
    :returns: The closest date
    :rtype: datetime.date or None",1,1,1
65,apache/airflow::airflow/macros/hive.py::closest_ds_partition::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/macros/hive.py#L83-L118,codesearchnet,test,78,144,"This function finds the date in a list closest to the target date.
    An optional parameter can be given to get the closest before or after.

    :param table: A hive table name
    :type table: str
    :param ds: A datestamp ``%Y-%m-%d`` e.g. ``yyyy-mm-dd``
    :type ds: list[datetime.date]
    :param before: closest before (True), after (False) or either side of ds
    :type before: bool or None
    :returns: The closest date
    :rtype: str or None

    >>> tbl = 'airflow.static_babynames_partitioned'
    >>> closest_ds_partition(tbl, '2015-01-02')
    '2015-01-01'",1,2,2
66,apache/airflow::airflow/hooks/mysql_hook.py::MySqlHook.get_conn::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/hooks/mysql_hook.py#L62-L105,codesearchnet,test,5,145,Returns a mysql connection object,2,2,2
67,apache/airflow::airflow/hooks/mysql_hook.py::MySqlHook.bulk_load::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/hooks/mysql_hook.py#L107-L117,codesearchnet,test,8,32,Loads a tab-delimited file into a database table,2,2,3
68,apache/airflow::airflow/contrib/sensors/gcs_sensor.py::GoogleCloudStorageUploadSessionCompleteSensor.is_bucket_updated::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/sensors/gcs_sensor.py#L242-L310,codesearchnet,test,33,215,"Checks whether new objects have been uploaded and the inactivity_period
        has passed and updates the state of the sensor accordingly.

        :param current_num_objects: number of objects in bucket during last poke.
        :type current_num_objects: int",1,1,1
69,apache/airflow::airflow/bin/cli.py::sigquit_handler::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L88-L103,codesearchnet,test,18,74,"Helps debug deadlocks by printing stacktraces when this gets a SIGQUIT
    e.g. kill -s QUIT <PID> or CTRL+\",1,1,1
70,apache/airflow::airflow/bin/cli.py::trigger_dag::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L221-L236,codesearchnet,test,11,33,"Creates a dag run for the specified dag
    :param args:
    :return:",6,1,1
71,apache/airflow::airflow/bin/cli.py::delete_dag::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L240-L257,codesearchnet,test,12,53,"Deletes all DB records related to the specified dag
    :param args:
    :return:",1,1,1
72,apache/airflow::airflow/bin/cli.py::task_failed_deps::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L527-L550,codesearchnet,test,72,123,"Returns the unmet dependencies for a task instance from the perspective of the
    scheduler (i.e. why a task instance doesn't get scheduled and then queued by the
    scheduler, and then run by an executor).
    >>> airflow task_failed_deps tutorial sleep 2015-01-01
    Task instance dependencies not met:
    Dagrun Running: Task instance's dagrun did not exist: Unknown reason
    Trigger Rule: Task's trigger rule 'all_success' requires all upstream tasks
    to have succeeded, but found 1 non-success(es).",1,1,1
73,apache/airflow::airflow/bin/cli.py::task_state::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L554-L563,codesearchnet,test,17,32,"Returns the state of a TaskInstance at the command line.
    >>> airflow task_state tutorial sleep 2015-01-01
    success",1,1,1
74,apache/airflow::airflow/bin/cli.py::dag_state::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L567-L575,codesearchnet,test,16,34,"Returns the state of a DagRun at the command line.
    >>> airflow dag_state tutorial 2015-01-01T00:00:00.000000
    running",1,1,1
75,apache/airflow::airflow/bin/cli.py::next_execution::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L579-L600,codesearchnet,test,18,78,"Returns the next execution datetime of a DAG at the command line.
    >>> airflow next_execution tutorial
    2018-08-31 10:38:00",1,1,1
76,apache/airflow::airflow/bin/cli.py::restart_workers::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/bin/cli.py#L763-L868,codesearchnet,test,150,400,"Runs forever, monitoring the child processes of @gunicorn_master_proc and
    restarting workers occasionally.
    Each iteration of the loop traverses one edge of this state transition
    diagram, where each state (node) represents
    [ num_ready_workers_running / num_workers_running ]. We expect most time to
    be spent in [n / n]. `bs` is the setting webserver.worker_refresh_batch_size.
    The horizontal transition at ? happens after the new worker parses all the
    dags (so it could take a while!)
       V ────────────────────────────────────────────────────────────────────────┐
    [n / n] ──TTIN──> [ [n, n+bs) / n + bs ]  ────?───> [n + bs / n + bs] ──TTOU─┘
       ^                          ^───────────────┘
       │
       │      ┌────────────────v
       └──────┴────── [ [0, n) / n ] <─── start
    We change the number of workers by sending TTIN and TTOU to the gunicorn
    master process, which increases and decreases the number of child workers
    respectively. Gunicorn guarantees that on TTOU workers are terminated
    gracefully and that the oldest worker is terminated.",1,1,1
77,apache/airflow::airflow/contrib/hooks/gcp_translate_hook.py::CloudTranslateHook.get_conn::https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/hooks/gcp_translate_hook.py#L34-L43,codesearchnet,test,13,25,"Retrieves connection to Cloud Translate

        :return: Google Cloud Translate client object.
        :rtype: Client",1,1,1
