query_index,record_id,dataset,split,query_tokens,code_tokens,query,teacher_rank,supervised_rank,embed_rank
46,57,mbpp,test,17,23,Write a python function to find the largest number that can be formed with the given digits.,3,205,379
47,58,mbpp,test,16,8,Write a python function to check whether the given two integers have opposite sign or not.,1,227,57
48,59,mbpp,test,9,12,Write a function to find the nth octagonal number.,1,8,32
49,60,mbpp,test,20,51,Write a function to find the maximum length of the subsequence with difference between adjacent elements for the given array.,1,240,340
50,61,mbpp,test,18,42,Write a python function to count number of substrings with the sum of digits equal to their length.,1,1,334
51,62,mbpp,test,11,4,Write a python function to find smallest number in a list.,2,474,224
52,63,mbpp,test,16,17,Write a function to find the maximum difference between available pairs in the given tuple list.,1,11,63
53,64,mbpp,test,11,20,Write a function to sort a list of tuples using lambda.,47,431,338
54,65,mbpp,test,7,26,Write a function of recursion list sum.,1,5,93
55,66,mbpp,test,11,17,Write a python function to count positive numbers in a list.,3,302,213
56,67,mbpp,test,16,36,Write a function to find the number of ways to partition a set of bell numbers.,1,62,263
57,68,mbpp,test,14,26,Write a python function to check whether the given array is monotonic or not.,1,50,109
58,69,mbpp,test,14,59,Write a function to check whether a list contains the given sublist or not.,1,1,232
59,70,mbpp,test,15,43,Write a function to find whether all the given tuples have equal length or not.,1,18,42
60,71,mbpp,test,12,54,Write a function to sort a list of elements using comb sort.,2,86,204
61,72,mbpp,test,20,12,Write a python function to check whether the given number can be represented as difference of two squares or not.,2,220,134
62,73,mbpp,test,14,8,Write a function to split the given string with multiple delimiters by using regex.,1,20,3
63,74,mbpp,test,15,63,Write a function to check whether it follows the sequence given in the patterns array.,2,49,441
64,75,mbpp,test,19,22,Write a function to find tuples which have all elements divisible by k from the given list of tuples.,1,18,36
65,76,mbpp,test,13,40,Write a python function to count the number of squares in a rectangle.,1,172,288
66,77,mbpp,test,15,8,Write a python function to find the difference between sum of even and odd digits.,57,293,71
67,78,mbpp,test,15,33,Write a python function to find number of integers with odd number of set bits.,3,79,208
68,79,mbpp,test,16,17,Write a python function to check whether the length of the word is odd or not.,2,1,28
69,80,mbpp,test,9,14,Write a function to find the nth tetrahedral number.,1,1,18
70,81,mbpp,test,9,17,Write a function to zip the two given tuples.,1,104,368
71,82,mbpp,test,10,7,Write a function to find the volume of a sphere.,1,8,8
72,83,mbpp,test,18,36,Write a python function to find the character made by adding all the characters of the given string.,2,436,487
73,84,mbpp,test,12,17,Write a function to find the n-th number in newman conway sequence.,3,1,1
74,85,mbpp,test,11,7,Write a function to find the surface area of a sphere.,1,81,115
75,86,mbpp,test,9,12,Write a function to find nth centered hexagonal number.,1,1,3
76,87,mbpp,test,11,12,Write a function to merge three dictionaries into a single expression.,1,2,80
77,88,mbpp,test,13,8,Write a function to get the frequency of the elements in a list.,9,463,485
78,89,mbpp,test,11,6,Write a function to find the closest smaller number than n.,1,172,80
79,90,mbpp,test,12,12,Write a python function to find the length of the longest word.,23,278,197
80,91,mbpp,test,17,15,Write a function to check if a substring is present in a given list of string values.,1,284,19
81,92,mbpp,test,13,23,Write a function to check whether the given number is undulating or not.,1,46,136
82,93,mbpp,test,13,17,Write a function to calculate the value of 'a' to the power 'b'.,1,116,124
83,94,mbpp,test,14,14,Write a function to extract the index minimum value record from the given tuples.,2,117,79
84,95,mbpp,test,11,12,Write a python function to find the minimum length of sublist.,3,159,92
85,96,mbpp,test,14,20,Write a python function to find the number of divisors of a given integer.,1,66,67
86,97,mbpp,test,11,39,Write a function to find frequency count of list of lists.,2,36,140
87,98,mbpp,test,19,14,Write a function to multiply all the numbers in a list and divide with the length of the list.,1,52,15
88,99,mbpp,test,13,4,Write a function to convert the given decimal number to its binary equivalent.,3,2,1
89,100,mbpp,test,13,17,Write a function to find the next smallest palindrome of a specified number.,1,66,327
90,101,mbpp,test,12,24,Write a function to find the kth element in the given array.,1,17,298
91,102,mbpp,test,12,12,Write a function to convert snake case string to camel case string.,1,43,39
92,103,mbpp,test,9,38,"Write a function to find eulerian number a(n, m).",1,4,202
93,104,mbpp,test,18,15,Write a function to sort each sublist of strings in a given list of lists using lambda function.,1,1,1
94,105,mbpp,test,12,4,Write a python function to count true booleans in the given list.,13,356,187
95,106,mbpp,test,12,10,Write a function to add the given list to the given tuples.,1,7,130
96,107,mbpp,test,12,55,Write a python function to count hexadecimal numbers for a given range.,1,57,373
97,108,mbpp,test,17,12,Write a function to merge multiple sorted inputs into a single sorted iterator using heap queue algorithm.,1,32,89
98,109,mbpp,test,17,18,Write a python function to find the count of rotations of a binary string with odd value.,6,22,20
99,110,mbpp,test,23,28,Write a function to extract the ranges that are missing from the given list with the given start range and end range values.,1,425,486
100,111,mbpp,test,23,8,Write a function to find common elements in given nested lists. * list item * list item * list item * list item,1,8,5
101,112,mbpp,test,11,5,Write a python function to find the perimeter of a cylinder.,1,134,57
102,113,mbpp,test,13,40,Write a function to check if a string represents an integer or not.,1,121,129
103,114,mbpp,test,14,17,Write a function to assign frequency to each tuple in the given tuple list.,16,429,399
104,115,mbpp,test,15,10,Write a function to check whether all dictionaries in a list are empty or not.,1,2,3
105,116,mbpp,test,14,7,Write a function to convert a given tuple of positive integers into an integer.,2,412,388
106,117,mbpp,test,14,24,Write a function to convert all possible convertible elements in the list to float.,1,470,480
107,118,mbpp,test,15,8,[link text](https:// [link text](https:// [link text](https://)))write a function to convert a string to a list.,1,32,113
108,119,mbpp,test,16,18,Write a python function to find the element that appears only once in a sorted array.,10,59,140
109,120,mbpp,test,17,15,Write a function to find the maximum product from the pairs of tuples within a given list.,1,57,172
110,121,mbpp,test,13,49,Write a function to find the triplet with sum of the given array,1,29,132
111,122,mbpp,test,8,55,Write a function to find n’th smart number.,1,43,335
112,123,mbpp,test,14,76,Write a function to sum all amicable numbers from 1 to a specified number.,1,1,250
113,124,mbpp,test,11,8,Write a function to get the angle of a complex number.,1,1,4
114,125,mbpp,test,25,39,Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,5,2,69
115,126,mbpp,test,15,27,Write a python function to find the sum of common divisors of two given numbers.,9,88,106
116,127,mbpp,test,14,30,Write a function to multiply two integers without using the * operator in python.,2,21,129
117,128,mbpp,test,17,21,Write a function to shortlist words that are longer than n from a given list of words.,1,21,116
118,129,mbpp,test,7,49,Write a function to calculate magic square.,1,37,247
119,130,mbpp,test,14,24,Write a function to find the item with maximum frequency in a given list.,5,497,343
120,131,mbpp,test,13,39,Write a python function to reverse only the vowels of a given string.,1,5,32
121,132,mbpp,test,9,7,Write a function to convert tuple to a string.,7,31,123
122,133,mbpp,test,20,8,Write a function to calculate the sum of the negative numbers of a given list of numbers using lambda function.,1,57,24
123,134,mbpp,test,23,32,Write a python function to check whether the last element of given array is even or odd after performing an operation p times.,1,41,205
124,135,mbpp,test,9,6,Write a function to find the nth hexagonal number.,1,1,18
125,136,mbpp,test,7,69,Write a function to calculate electricity bill.,1,300,398
126,137,mbpp,test,14,27,Write a function to find the ration of zeroes in an array of integers.,1,22,67
127,138,mbpp,test,22,13,Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.,1,2,12
128,139,mbpp,test,10,5,Write a function to find the circumference of a circle.,1,1,5
129,140,mbpp,test,14,25,Write a function to extract elements that occur singly in the given tuple list.,7,55,258
130,141,mbpp,test,12,27,Write a function to sort a list of elements using pancake sort.,1,253,481
131,142,mbpp,test,12,17,Write a function to count the same pair in three given lists.,1,16,150
132,143,mbpp,test,13,10,Write a function to find number of lists present in the given tuple.,15,210,3
133,144,mbpp,test,18,20,Write a python function to find the sum of absolute differences in all pairs of the given array.,2,2,112
134,145,mbpp,test,17,23,Write a python function to find the maximum difference between any two elements in a given array.,4,326,438
135,146,mbpp,test,14,8,Write a function to find the ascii value of total characters in a string.,4,19,17
136,147,mbpp,test,14,27,Write a function to find the maximum total path sum in the given triangle.,1,99,405
137,148,mbpp,test,18,55,Write a function to divide a number into two parts such that the sum of digits is maximum.,1,33,161
138,149,mbpp,test,20,46,Write a function to find the longest subsequence such that the difference between adjacents is one for the given array.,1,108,354
139,150,mbpp,test,18,28,Write a python function to find whether the given number is present in the infinite sequence or not.,237,55,53
140,151,mbpp,test,14,18,Write a python function to check whether the given number is co-prime or not.,1,281,400
141,152,mbpp,test,12,59,Write a function to sort the given array by using merge sort.,1,156,352
142,153,mbpp,test,10,23,Write a function to find the vertex of a parabola.,1,1,2
143,154,mbpp,test,14,12,Write a function to extract every specified element from a given two dimensional list.,29,9,4
144,155,mbpp,test,13,43,Write a python function to toggle all even bits of a given number.,2,88,246
145,156,mbpp,test,16,12,Write a function to convert a tuple of string values to a tuple of integer values.,3,5,122
146,157,mbpp,test,11,14,Write a function to reflect the run-length encoding from a list.,3,38,217
147,158,mbpp,test,16,32,Write a python function to find k number of operations required to make all elements equal.,3,195,419
148,159,mbpp,test,13,101,Write a function to print the season for the given month and day.,1,110,248
149,160,mbpp,test,15,49,Write a function to find x and y that satisfies ax + by = n.,1,109,114
150,161,mbpp,test,15,17,Write a function to remove all elements from a given list present in another list.,1,1,2
151,162,mbpp,test,17,15,Write a function to calculate the sum of the positive integers of n+(n-2)+(n-4)... (until n-x =< 0).,1,87,52
152,163,mbpp,test,11,22,Write a function to calculate the area of a regular polygon.,1,6,92
153,164,mbpp,test,15,40,Write a python function to check whether the sum of divisors are same or not.,3,294,444
154,165,mbpp,test,22,26,Write a python function to count characters at same position in a given string (lower and uppercase characters) as in english alphabet.,1,40,152
155,166,mbpp,test,14,24,Write a python function to count the pairs with xor as an even number.,1,120,198
156,167,mbpp,test,16,29,Write a python function to find smallest power of 2 greater than or equal to n.,3,6,147
157,168,mbpp,test,15,18,Write a python function to find the frequency of a number in a given array.,1,82,3
158,169,mbpp,test,9,34,Write a function to calculate the nth pell number.,1,110,187
159,170,mbpp,test,19,18,Write a function to find sum of the numbers in a list between the indices of a specified range.,1,1,16
160,171,mbpp,test,10,7,Write a function to find the perimeter of a pentagon.,1,2,3
161,172,mbpp,test,32,22,Write a function to find the occurence of characters 'std' in the given string 1. list item 1. list item 1. list item 2. list item 2. list item 2. list item,20,247,230
162,173,mbpp,test,12,10,Write a function to remove everything except alphanumeric characters from a string.,15,157,86
163,174,mbpp,test,15,14,Write a function to group a sequence of key-value pairs into a dictionary of lists.,1,364,262
164,175,mbpp,test,11,36,Write a function to verify validity of a string of parentheses.,2,358,488
165,176,mbpp,test,10,5,Write a function to find the perimeter of a triangle.,1,1,4
166,177,mbpp,test,18,14,Write a python function to find two distinct numbers such that their lcm lies within the given range.,1,232,159
167,178,mbpp,test,11,17,Write a function to search some literals strings in a string.,1,27,16
168,179,mbpp,test,15,53,Write a function to find if the given number is a keith number or not.,1,386,385
169,180,mbpp,test,13,20,Write a function to calculate distance between two points using latitude and longitude.,1,413,424
170,181,mbpp,test,15,65,Write a function to find the longest common prefix in the given set of strings.,1,14,348
171,182,mbpp,test,14,26,"Write a function to find uppercase, lowercase, special character and numeric values using regex.",1,1,3
172,183,mbpp,test,17,31,Write a function to count all the distinct pairs having a difference of k in any array.,1,7,154
173,184,mbpp,test,18,11,Write a function to find all the values in a list that are greater than a specified number.,1,70,50
174,185,mbpp,test,10,26,Write a function to find the focus of a parabola.,1,33,71
175,186,mbpp,test,14,18,Write a function to search some literals strings in a string by using regex.,2,280,21
176,187,mbpp,test,14,36,Write a function to find the longest common subsequence for the given two sequences.,1,9,259
177,188,mbpp,test,20,26,Write a python function to check whether the given number can be represented by product of two squares or not.,1,131,234
178,189,mbpp,test,11,62,Write a python function to find the first missing positive number.,1,46,397
179,190,mbpp,test,16,14,Write a python function to count the number of integral co-ordinates that lie inside a square.,4,67,184
180,191,mbpp,test,15,19,Write a function to check whether the given month name contains 30 days or not.,2,3,59
181,192,mbpp,test,16,26,Write a python function to check whether a string has atleast one letter and one number.,7,96,157
182,193,mbpp,test,11,7,Write a function to remove the duplicates from the given tuple.,2,1,12
183,194,mbpp,test,11,36,Write a python function to convert octal number to decimal number.,1,134,169
184,195,mbpp,test,16,53,Write a python function to find the first position of an element in a sorted array.,5,390,395
185,196,mbpp,test,11,16,Write a function to remove all the tuples with length k.,1,75,142
186,197,mbpp,test,12,16,Write a function to perform the exponentiation of the given two tuples.,1,18,397
187,198,mbpp,test,15,28,Write a function to find the largest triangle that can be inscribed in an ellipse.,1,60,140
188,199,mbpp,test,17,25,Write a python function to find highest power of 2 less than or equal to given number.,1,35,62
189,200,mbpp,test,16,19,Write a function to find all index positions of the maximum values in a given list.,1,53,267
190,201,mbpp,test,16,6,Write a python function to check whether the elements in a list are same or not.,33,366,165
191,202,mbpp,test,10,26,Write a function to remove even characters in a string.,1,391,378
192,203,mbpp,test,13,26,Write a python function to find the hamming distance between given two integers.,1,4,116
193,204,mbpp,test,15,22,Write a python function to count the occurrence of a given character in a string.,6,158,151
194,205,mbpp,test,15,10,Write a function to find the inversions of tuple elements in the given tuple list.,1,2,49
195,206,mbpp,test,13,15,Write a function to perform the adjacent element concatenation in the given tuples.,1,88,290
196,207,mbpp,test,22,46,Write a function to count the longest repeating subsequences such that the two subsequences don’t have same string characters at same positions.,1,126,277
197,208,mbpp,test,16,12,Write a function to check the given decimal with a precision of 2 by using regex.,1,172,370
198,209,mbpp,test,18,11,Write a function to delete the smallest element from the given heap and then insert a new item.,3,24,57
199,210,mbpp,test,25,13,"Write a function to check that the given string contains only a certain set of characters(in this case a-z, a-z and 0-9) by using regex.",2,10,39
200,211,mbpp,test,14,15,Write a python function to count numbers whose oth and nth bits are set.,8,110,101
201,212,mbpp,test,15,19,Write a python function to find the sum of fourth power of n natural numbers.,1,5,37
202,213,mbpp,test,11,16,Write a function to perform the concatenation of two string tuples.,1,48,361
203,214,mbpp,test,8,9,Write a function to convert radians to degrees.,1,1,7
204,215,mbpp,test,10,29,Write a function to decode a run-length encoded given list.,1,225,252
205,216,mbpp,test,16,25,Write a function to check if a nested list is a subset of another nested list.,1,12,6
206,217,mbpp,test,14,21,Write a python function to find the first repeated character in a given string.,1,73,47
207,218,mbpp,test,15,18,Write a python function to find the minimum operations required to make two numbers equal.,1,31,193
208,219,mbpp,test,14,33,Write a function to extract maximum and minimum k elements in the given tuple.,1,152,497
209,220,mbpp,test,16,10,"Write a function to replace maximum n occurrences of spaces, commas, or dots with a colon.",1,462,418
210,221,mbpp,test,16,13,Write a python function to find the first even number in a given list of numbers.,1,393,93
211,222,mbpp,test,17,19,Write a function to check if all the elements in tuple have same data type or not.,1,16,117
212,223,mbpp,test,13,82,Write a function to check for majority element in the given sorted array.,1,108,416
213,224,mbpp,test,12,17,Write a python function to count set bits of a given number.,1,1,5
214,225,mbpp,test,15,37,Write a python function to find the minimum element in a sorted and rotated array.,1,397,405
215,226,mbpp,test,17,22,Write a python function to remove the characters which have odd index values of a given string.,4,95,78
216,227,mbpp,test,9,30,Write a function to find minimum of three numbers.,1,35,56
217,228,mbpp,test,18,30,Write a python function to check whether all the bits are unset in the given range or not.,2,14,171
218,229,mbpp,test,20,29,Write a function to re-arrange the elements of the given array so that all negative elements appear before positive ones.,1,76,287
219,230,mbpp,test,13,9,Write a function to replace blank spaces with any character in a string.,1,149,111
220,231,mbpp,test,15,48,Write a function to find the maximum sum in the given right triangle of numbers.,1,432,455
221,232,mbpp,test,12,7,Write a function to get the n largest items from a dataset.,6,65,227
222,233,mbpp,test,12,6,Write a function to find the lateral surface area of a cylinder.,1,4,17
223,234,mbpp,test,10,11,Write a function to find the volume of a cube.,1,1,2
224,235,mbpp,test,13,31,Write a python function to set all even bits of a given number.,1,264,281
225,236,mbpp,test,21,51,Write a python function to count the maximum number of equilateral triangles that can be formed within a given equilateral triangle.,2,98,174
226,237,mbpp,test,17,16,Write a function to check the occurrences of records which occur similar times in the given tuples.,2,131,66
227,238,mbpp,test,14,13,Write a python function to count number of non-empty substrings of a given string.,2,42,178
228,239,mbpp,test,38,34,Write a function to find the number of possible sequences of length n such that each of the next element is greater than or equal to twice of the previous element but less than or equal to m.,1,131,305
229,240,mbpp,test,14,8,Write a function to replace the last element of the list with another list.,1,13,38
230,241,mbpp,test,13,20,Write a function to generate a 3d array having each element as '*'.,1,5,12
231,242,mbpp,test,10,16,Write a function to count total characters in a string.,1,260,217
232,243,mbpp,test,17,21,Write a function to sort the given list based on the occurrence of first element of tuples.,3,237,278
233,244,mbpp,test,15,13,Write a python function to find the next perfect square greater than a given number.,1,297,151
234,245,mbpp,test,15,81,Write a function to find the maximum sum of bi-tonic sub-sequence for the given array.,5,323,485
235,246,mbpp,test,11,32,Write a function for computing square roots using the babylonian method.,1,261,268
236,247,mbpp,test,13,62,Write a function to find the longest palindromic subsequence in the given string.,37,160,352
237,248,mbpp,test,10,17,Write a function to calculate the harmonic sum of n-1.,1,2,5
238,249,mbpp,test,13,12,Write a function to find the intersection of two arrays using lambda function.,1,7,8
239,250,mbpp,test,14,21,Write a python function to count the occcurences of an element in a tuple.,1,11,113
240,251,mbpp,test,13,16,Write a function to insert an element before each element of a list.,1,2,4
241,252,mbpp,test,11,9,Write a python function to convert complex numbers to polar coordinates.,1,62,32
242,253,mbpp,test,11,19,Write a python function to count integers from a given list.,1,49,148
243,254,mbpp,test,16,10,Write a function to find all words starting with 'a' or 'e' in a given string.,1,186,55
244,255,mbpp,test,20,9,Write a function to choose specified number of colours from three different colours and generate all the combinations with repetitions.,1,1,1
245,256,mbpp,test,17,31,Write a python function to count the number of prime numbers less than a given non-negative number.,1,269,344
246,257,mbpp,test,7,13,Write a function to swap two numbers.,1,21,9
247,258,mbpp,test,16,13,Write a function to find number of odd elements in the given list using lambda function.,1,12,22
248,259,mbpp,test,9,21,Write a function to maximize the given two tuples.,1,41,390
249,260,mbpp,test,10,22,Write a function to find the nth newman–shanks–williams prime number.,1,2,50
250,261,mbpp,test,12,16,Write a function to perform mathematical division operation across the given tuples.,1,160,440
251,262,mbpp,test,23,6,Write a function to split a given list into two parts where the length of the first part of the list is given.,1,28,65
252,263,mbpp,test,7,8,Write a function to merge two dictionaries.,1,23,82
253,264,mbpp,test,11,26,Write a function to calculate a dog's age in dog's years.,1,1,9
254,265,mbpp,test,11,9,Write a function to split a list for every nth element.,1,10,1
255,266,mbpp,test,12,11,Write a function to find the lateral surface area of a cube.,2,91,40
256,267,mbpp,test,16,4,Write a python function to find the sum of squares of first n odd natural numbers.,3,43,40
257,268,mbpp,test,9,12,Write a function to find the n'th star number.,1,2,27
258,269,mbpp,test,11,5,Write a function to find the ascii value of a character.,1,4,56
259,270,mbpp,test,14,24,Write a python function to find the sum of even numbers at even positions.,1,32,220
260,271,mbpp,test,17,19,Write a python function to find the sum of fifth power of first n even natural numbers.,1,1,78
261,272,mbpp,test,14,11,Write a function to perfom the rear element extraction from list of tuples records.,2,24,14
262,273,mbpp,test,16,15,Write a function to substract the contents of one tuple with corresponding index of other tuple.,1,16,208
263,274,mbpp,test,12,11,Write a python function to find sum of even index binomial coefficients.,1,97,100
264,275,mbpp,test,17,44,Write a python function to find the position of the last removed element from the given array.,1,112,302
265,276,mbpp,test,10,5,Write a function to find the volume of a cylinder.,1,1,7
266,277,mbpp,test,10,15,Write a function to filter a dictionary based on values.,1,173,13
267,278,mbpp,test,17,13,Write a function to find the element count that occurs before the record in the given tuple.,2,112,213
268,279,mbpp,test,9,12,Write a function to find the nth decagonal number.,1,1,49
269,280,mbpp,test,15,32,Write a function to search an element in the given array by using sequential search.,1,384,474
270,281,mbpp,test,17,10,Write a python function to check if the elements of a given list are unique or not.,1,31,53
271,282,mbpp,test,12,14,Write a function to substaract two lists using map and lambda function.,1,15,55
272,283,mbpp,test,21,32,Write a python function to check whether the frequency of each digit is less than or equal to the digit itself.,15,254,181
273,284,mbpp,test,17,10,Write a function to check whether all items of a list are equal to a given string.,3,22,34
274,285,mbpp,test,17,17,Write a function that matches a string that has an a followed by two to three 'b'.,1,154,20
275,286,mbpp,test,25,35,Write a function to find the largest sum of contiguous array in the modified array which is formed by repeating the given array k times.,1,77,334
276,287,mbpp,test,16,4,Write a python function to find the sum of squares of first n even natural numbers.,1,42,96
277,288,mbpp,test,18,27,Write a function to count array elements having modular inverse under given prime number p equal to itself.,1,1,14
278,289,mbpp,test,15,52,Write a python function to calculate the number of odd days in a given year.,1,92,371
279,290,mbpp,test,12,19,Write a function to find the list of lists with maximum length.,2,21,55
280,291,mbpp,test,35,45,Write a function to find out the number of ways of painting the fence such that at most 2 adjacent posts have the same color for the given fence with n posts and k colors.,1,79,314
281,292,mbpp,test,10,7,Write a python function to find quotient of two numbers.,1,387,222
282,293,mbpp,test,13,7,Write a function to find the third side of a right angled triangle.,3,234,216
283,294,mbpp,test,13,13,Write a function to find the maximum value in a given heterogeneous list.,1,191,378
284,295,mbpp,test,13,17,Write a function to return the sum of all divisors of a number.,1,1,37
285,296,mbpp,test,10,24,Write a python function to count inversions in an array.,3,117,265
286,297,mbpp,test,10,35,Write a function to flatten a given nested list structure.,1,36,282
287,298,mbpp,test,15,20,Write a function to find the nested list elements which are present in another list.,1,34,23
288,299,mbpp,test,13,22,Write a function to calculate the maximum aggregate from the list of tuples.,3,299,402
289,300,mbpp,test,29,33,Write a function to find the count of all binary sequences of length 2n such that sum of first n bits is same as sum of last n bits.,4,308,292
290,301,mbpp,test,10,16,Write a function to find the depth of a dictionary.,1,150,36
291,302,mbpp,test,17,32,Write a python function to find the most significant bit number which is also a set bit.,2,172,376
292,303,mbpp,test,18,26,Write a python function to check whether the count of inversion of two types are same or not.,283,241,360
293,304,mbpp,test,15,43,Write a python function to find element at a given index after number of rotations.,1,1,20
294,305,mbpp,test,16,16,Write a function to match two words from a list of words starting with letter 'p'.,1,6,61
295,306,mbpp,test,32,81,"Write a function to find the maximum sum of increasing subsequence from prefix till ith index and also including a given kth element which is after i, i.e., k > i .",1,69,358
296,307,mbpp,test,10,12,Write a function to get a colon of a tuple.,2,31,358
297,308,mbpp,test,15,18,Write a function to find the specified number of largest products from two given lists.,3,29,25
298,309,mbpp,test,11,11,Write a python function to find the maximum of two numbers.,1,183,16
299,310,mbpp,test,11,14,Write a function to convert a given string to a tuple.,1,14,11
300,311,mbpp,test,11,38,Write a python function to set the left most unset bit.,1,103,316
301,312,mbpp,test,10,17,Write a function to find the volume of a cone.,1,13,48
302,313,mbpp,test,11,12,Write a python function to print positive numbers in a list.,6,388,292
303,314,mbpp,test,27,33,Write a function to find out the maximum sum such that no two chosen numbers are adjacent for the given rectangular grid of dimension 2 x n.,1,210,354
304,315,mbpp,test,13,84,Write a python function to find the first maximum length of even word.,1,342,494
305,316,mbpp,test,19,53,Write a function to find the index of the last occurrence of a given number in a sorted array.,1,55,105
306,317,mbpp,test,12,23,Write a function to reflect the modified run-length encoding from a list.,1,377,479
307,318,mbpp,test,17,39,Write a python function to find the maximum volume of a cuboid with given sum of sides.,2,88,268
308,319,mbpp,test,17,7,Write a function to find all five characters long word in the given string by using regex.,1,2,3
309,320,mbpp,test,25,30,Write a function to calculate the difference between the squared sum of first n natural numbers and the sum of squared first n natural numbers.,1,233,227
310,321,mbpp,test,12,28,Write a function to find the demlo number for the given number.,1,245,301
311,322,mbpp,test,16,19,Write a function to find all index positions of the minimum values in a given list.,2,88,157
312,323,mbpp,test,14,101,Write a function to re-arrange the given array in alternating positive and negative items.,3,486,378
313,324,mbpp,test,12,26,Write a function to extract the sum of alternate chains of tuples.,1,104,484
314,325,mbpp,test,19,37,Write a python function to find the minimum number of squares whose sum is equal to a given number.,1,24,138
315,326,mbpp,test,17,26,Write a function to get the word with most number of occurrences in the given strings list.,3,241,367
316,327,mbpp,test,13,13,Write a function to print check if the triangle is isosceles or not.,1,1,6
317,328,mbpp,test,17,7,Write a function to rotate a given list by specified number of items to the left direction.,1,11,154
318,329,mbpp,test,11,17,Write a python function to count negative numbers in a list.,2,278,355
