source,evidence_class,status,dataset,split,teacher_model,student_model,method,training_budget,MRR,Recall@1,Recall@5,Recall@10,nDCG@10,MAP@10,artifact_location,notes
artifacts/finetune_comparison/20260318_011112/finetuned_multi-qa-mpnet-base-dot-v1/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,multi-qa-mpnet-base-dot-v1,finetuned_multi-qa-mpnet-base-dot-v1,,0.8285,0.7500,0.9220,0.9520,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_multi-qa-mpnet-base-dot-v1/metrics.json,history_rows=8
artifacts/finetune_comparison/20260318_011112/finetuned_e5-large-v2/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,e5-large-v2,finetuned_e5-large-v2,,0.7982,0.7140,0.9060,0.9420,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_e5-large-v2/metrics.json,history_rows=8
artifacts/finetune_comparison/20260318_011112/finetuned_e5-base-v2/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,e5-base-v2,finetuned_e5-base-v2,,0.8076,0.7160,0.9180,0.9540,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_e5-base-v2/metrics.json,history_rows=8
artifacts/finetune_comparison/20260318_011112/finetuned_bge-large-en-v1.5/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,bge-large-en-v1.5,finetuned_bge-large-en-v1.5,,0.7754,0.6860,0.8760,0.9180,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_bge-large-en-v1.5/metrics.json,history_rows=8
artifacts/finetune_comparison/20260318_011112/finetuned_bge-base-en-v1.5/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,bge-base-en-v1.5,finetuned_bge-base-en-v1.5,,0.8237,0.7460,0.9160,0.9500,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_bge-base-en-v1.5/metrics.json,history_rows=8
artifacts/finetune_comparison/20260318_011112/finetuned_all-mpnet-base-v2/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,all-mpnet-base-v2,finetuned_all-mpnet-base-v2,,0.8422,0.7580,0.9480,0.9740,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_all-mpnet-base-v2/metrics.json,history_rows=8
artifacts/finetune_comparison/20260318_011112/finetuned_all-MiniLM-L6-v2/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,all-MiniLM-L6-v2,finetuned_all-MiniLM-L6-v2,,0.8137,0.7320,0.9240,0.9480,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_all-MiniLM-L6-v2/metrics.json,history_rows=8
artifacts/finetune_comparison/20260318_011112/finetuned_all-MiniLM-L12-v2/metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,all-MiniLM-L12-v2,finetuned_all-MiniLM-L12-v2,,0.8257,0.7400,0.9260,0.9600,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/artifacts/finetune_comparison/20260318_011112/finetuned_all-MiniLM-L12-v2/metrics.json,history_rows=8
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_standard_mnr/sentence-transformers__all-MiniLM-L6-v2,final_standard_mnr,,0.7986,0.7060,0.9100,0.9500,0.8341,0.7963,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260324_195817_final_standard_mnr__sentence-transformers__all-MiniLM-L6-v2,final_standard_mnr__sentence-transformers__all-MiniLM-L6-v2
docs/EXPERIMENT_LOG.md:20260314_140409,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=1, batch-size=16, eval-batch-size=32, epochs=3, batch-size=32, eval-batch-size=64",0.7806,0.6920,0.8920,0.9240,,,fair_compare_mbpp/20260314_140409/results_summary.json; fair_compare_mbpp/20260314_140409/supervised_student/metrics.json; fair_compare_mbpp/20260314_140409/embed_distill/metrics.json,fair_compare_mbpp/
docs/EXPERIMENT_LOG.md:20260313_223554,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=3, batch-size=16, eval-batch-size=32",0.7385,0.6320,0.8780,0.9220,,,mpnet_symmetric_eval/20260313_223554/results_summary.json; mpnet_symmetric_eval/20260313_223554/embed_distill/metrics.json,mpnet_symmetric_eval/
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=3, batch-size=16, eval-batch-size=32",0.7375,0.6300,0.8660,0.9300,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260313_222015,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=3, batch-size=16, eval-batch-size=32",0.7137,0.6020,0.8660,0.9200,,,mpnet_projection_init_compare/20260313_222015/results_summary.json; mpnet_projection_init_compare/20260313_222015/embed_distill/metrics.json,mpnet_projection_init_compare/
docs/EXPERIMENT_LOG.md:20260312_230346,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=1, batch-size=16, eval-batch-size=32",0.7122,0.6000,0.8560,0.9060,,,quick_compare/20260312_230346/results_summary.json; quick_compare/20260312_230346/config.json,quick_compare/
docs/EXPERIMENT_LOG.md:20260313_223010,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=8, batch-size=16, eval-batch-size=32",0.6940,0.5700,0.8480,0.9180,,,mpnet_projection_longer/20260313_223010/results_summary.json; mpnet_projection_longer/20260313_223010/embed_distill/metrics.json,mpnet_projection_longer/
docs/EXPERIMENT_LOG.md:20260312_233935,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=3, batch-size=16, eval-batch-size=32",0.2610,0.1320,0.3840,0.5400,,,mpnet_teacher_compare/20260312_233935/results_summary.json; mpnet_teacher_compare/20260312_233935/config.json,mpnet_teacher_compare/
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,distilcse_lite,"epochs=3, batch-size=16, eval-batch-size=32",0.7245,0.6180,0.8620,0.9300,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230346,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,distilcse_lite,"epochs=1, batch-size=16, eval-batch-size=32",0.7119,0.6040,0.8540,0.9140,,,quick_compare/20260312_230346/results_summary.json; quick_compare/20260312_230346/config.json,quick_compare/
docs/EXPERIMENT_LOG.md:20260314_140409,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,direct_small_student,"epochs=1, batch-size=16, eval-batch-size=32, epochs=3, batch-size=32, eval-batch-size=64",0.7717,0.6820,0.8840,0.9220,,,fair_compare_mbpp/20260314_140409/results_summary.json; fair_compare_mbpp/20260314_140409/supervised_student/metrics.json; fair_compare_mbpp/20260314_140409/embed_distill/metrics.json,fair_compare_mbpp/
docs/EXPERIMENT_LOG.md:20260313_223010,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,direct_small_student,"epochs=8, batch-size=16, eval-batch-size=32",0.7717,0.6820,0.8840,0.9220,,,mpnet_projection_longer/20260313_223010/results_summary.json; mpnet_projection_longer/20260313_223010/embed_distill/metrics.json,mpnet_projection_longer/
docs/EXPERIMENT_LOG.md:20260312_233935,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,direct_small_student,"epochs=3, batch-size=16, eval-batch-size=32",0.7717,0.6820,0.8840,0.9220,,,mpnet_teacher_compare/20260312_233935/results_summary.json; mpnet_teacher_compare/20260312_233935/config.json,mpnet_teacher_compare/
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,direct_small_student,"epochs=3, batch-size=16, eval-batch-size=32",0.7717,0.6820,0.8840,0.9220,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230307,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,direct_small_student,"epochs=1, batch-size=16, eval-batch-size=32",0.7717,0.6820,0.8840,0.9220,,,smoke_runs/20260312_230307/results_summary.json,smoke_runs/
docs/EXPERIMENT_LOG.md:20260313_223010,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,-,direct_big_teacher,"epochs=8, batch-size=16, eval-batch-size=32",0.8229,0.7480,0.9240,0.9640,,,mpnet_projection_longer/20260313_223010/results_summary.json; mpnet_projection_longer/20260313_223010/embed_distill/metrics.json,mpnet_projection_longer/
docs/EXPERIMENT_LOG.md:20260312_233935,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,-,direct_big_teacher,"epochs=3, batch-size=16, eval-batch-size=32",0.8229,0.7480,0.9240,0.9640,,,mpnet_teacher_compare/20260312_233935/results_summary.json; mpnet_teacher_compare/20260312_233935/config.json,mpnet_teacher_compare/
docs/EXPERIMENT_LOG.md:20260314_140409,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,-,direct_big_teacher,"epochs=1, batch-size=16, eval-batch-size=32, epochs=3, batch-size=32, eval-batch-size=64",0.7860,0.6980,0.8920,0.9400,,,fair_compare_mbpp/20260314_140409/results_summary.json; fair_compare_mbpp/20260314_140409/supervised_student/metrics.json; fair_compare_mbpp/20260314_140409/embed_distill/metrics.json,fair_compare_mbpp/
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,-,direct_big_teacher,"epochs=3, batch-size=16, eval-batch-size=32",0.7860,0.6980,0.8920,0.9400,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230307,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,-,direct_big_teacher,"epochs=1, batch-size=16, eval-batch-size=32",0.7860,0.6980,0.8920,0.9400,,,smoke_runs/20260312_230307/results_summary.json,smoke_runs/
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,cross-encoder/ms-marco-TinyBERT-L2,cross-encoder,,0.5156,0.4100,0.6340,0.6960,0.5523,0.5065,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260324_212148_cross-encoder__ms-marco-TinyBERT-L2,cross-encoder__ms-marco-TinyBERT-L2
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,adam_lite,"epochs=3, batch-size=16, eval-batch-size=32",0.7269,0.6180,0.8740,0.9200,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230346,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,adam_lite,"epochs=1, batch-size=16, eval-batch-size=32",0.7017,0.5920,0.8380,0.8920,,,quick_compare/20260312_230346/results_summary.json; quick_compare/20260312_230346/config.json,quick_compare/
docs/EXPERIMENT_LOG.md:20260312_233935,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,adam_lite,"epochs=3, batch-size=16, eval-batch-size=32",0.2367,0.1180,0.3480,0.4760,,,mpnet_teacher_compare/20260312_233935/results_summary.json; mpnet_teacher_compare/20260312_233935/config.json,mpnet_teacher_compare/
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_strong_student_diag/20260325_204211/supervised_student,20260325_204211,,0.7243,0.6220,0.8540,0.8960,0.7631,0.7200,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260325_205146_20260325_204211__supervised_student,20260325_204211__supervised_student
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/supervised_student,20260325_203126,,0.1621,0.1080,0.1960,0.2460,0.1701,0.1467,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260325_204125_20260325_203126__supervised_student,20260325_203126__supervised_student
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/score_distill,20260325_203126,,0.0872,0.0480,0.1040,0.1460,0.0909,0.0741,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260325_204135_20260325_203126__score_distill,20260325_203126__score_distill
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/embed_distill,20260325_203126,,0.0680,0.0300,0.0900,0.1380,0.0748,0.0557,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260325_204130_20260325_203126__embed_distill,20260325_203126__embed_distill
mbpp_kd_suite/artifacts/codesearchnet_strong_student_diag/20260325_204211/supervised_student/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,supervised_student,"epochs=2, batch_size=8, eval_batch_size=16, seed=42",0.9658,0.9430,0.9940,1.0000,0.9743,0.9658,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_strong_student_diag/20260325_204211/supervised_student/metrics.json,history_rows=2
mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/supervised_student/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_student,"epochs=2, batch_size=8, eval_batch_size=16, seed=42",0.8993,0.8520,0.9570,0.9730,0.9168,0.8983,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/supervised_student/metrics.json,history_rows=2
mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/score_distill/metrics.json,checkpoint-verified,verified,codesearchnet,test,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,score_distill,"epochs=2, batch_size=8, eval_batch_size=16, seed=42",0.5998,0.5180,0.6900,0.7430,0.6294,0.5932,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/score_distill/metrics.json,history_rows=2
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,sentence-transformers/all-MiniLM-L12-v2,raw,,0.8956,0.8449,0.9577,0.9718,0.9138,0.8946,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260325_203114_sentence-transformers__all-MiniLM-L12-v2,sentence-transformers__all-MiniLM-L12-v2
eval/runs/run_index.csv,checkpoint-verified,verified,codesearchnet,test,-,sentence-transformers/all-MiniLM-L6-v2,raw,,0.8773,0.8221,0.9447,0.9635,0.8977,0.8761,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/codesearchnet/test/20260324_204106_sentence-transformers__all-MiniLM-L6-v2,sentence-transformers__all-MiniLM-L6-v2
